<VarList>
var.group[0].here[0],var.group[0].here[1],var.group[0].here[2],var.group[0].setpoint[0],var.group[0].setpoint[1],var.group[0].setpoint[2],var.group[0].vtfb,
<SampleList>
|35;1190.907000,519.698000,320.088000,1188.335000,381.304000,420.023000,1991.481000,
|36;1190.902000,513.228000,324.756000,1188.335000,374.818000,424.707000,1994.521000,
|37;1190.882000,506.755000,329.415000,1188.335000,368.332000,429.391000,1994.003000,
|38;1190.885000,500.313000,334.082000,1188.335000,361.847000,434.074000,1988.619000,
|39;1190.876000,493.849000,338.747000,1188.336000,355.361000,438.758000,1992.797000,
|40;1190.877000,487.378000,343.409000,1188.336000,348.876000,443.442000,1994.083000,
|41;1190.870000,480.926000,348.082000,1188.336000,342.390000,448.125000,1991.387000,
|42;1190.865000,474.467000,352.749000,1188.336000,335.904000,452.809000,1992.186000,
|43;1190.862000,467.996000,357.418000,1188.336000,329.419000,457.493000,1994.968000,
|44;1190.854000,461.540000,362.077000,1188.336000,322.933000,462.176000,1990.344000,
|45;1190.850000,455.066000,366.742000,1188.336000,316.447000,466.860000,1995.074000,
|46;1190.842000,448.600000,371.404000,1188.336000,309.962000,471.544000,1992.724000,
|47;1190.825000,442.133000,376.043000,1188.336000,303.476000,476.227000,1989.733000,
|48;1190.809000,435.666000,380.678000,1188.336000,296.991000,480.911000,1989.012000,
|49;1190.802000,429.191000,385.318000,1188.336000,290.505000,485.595000,1991.717000,
|50;1190.798000,422.710000,389.965000,1188.337000,284.019000,490.278000,1993.583000,
|51;1190.791000,416.244000,394.614000,1188.337000,277.534000,494.962000,1990.908000,
|52;1190.787000,409.769000,399.270000,1188.337000,271.048000,499.646000,1993.882000,
|53;1190.787000,403.283000,403.933000,1188.337000,264.562000,504.329000,1996.993000,
|54;1190.785000,396.799000,408.599000,1188.337000,258.077000,509.013000,1997.035000,
|55;1190.782000,390.319000,413.262000,1188.337000,251.591000,513.697000,1995.951000,
|56;1190.773000,383.842000,417.935000,1188.337000,245.106000,518.380000,1996.602000,
|57;1190.774000,377.347000,422.603000,1188.337000,238.620000,523.064000,1999.669000,
|58;1190.770000,370.866000,427.279000,1188.337000,232.134000,527.748000,1997.850000,
|59;1190.772000,364.390000,431.961000,1188.337000,225.649000,532.431000,1997.746000,
|60;1190.781000,357.894000,436.646000,1188.337000,219.163000,537.115000,2002.470000,
|61;1190.790000,351.402000,441.330000,1188.338000,212.677000,541.799000,2001.463000,
|62;1190.792000,344.935000,446.017000,1188.338000,206.192000,546.482000,1996.454000,
|63;1190.801000,338.450000,450.710000,1188.338000,199.706000,551.166000,2001.243000,
|64;1190.804000,331.977000,455.404000,1188.338000,193.221000,555.850000,1999.072000,
|65;1190.807000,325.512000,460.084000,1188.338000,186.735000,560.533000,1995.426000,
|66;1190.810000,319.028000,464.779000,1188.338000,180.249000,565.217000,2001.104000,
|67;1190.804000,312.570000,469.465000,1188.338000,173.764000,569.901000,1994.870000,
|68;1190.800000,306.100000,474.144000,1188.338000,167.278000,574.584000,1996.179000,
|69;1190.793000,299.643000,478.836000,1188.338000,160.792000,579.268000,1995.411000,
|70;1190.792000,293.161000,483.513000,1188.338000,154.307000,583.952000,1998.218000,
|71;1190.786000,286.698000,488.195000,1188.338000,147.821000,588.635000,1995.255000,
|72;1190.779000,280.247000,492.874000,1188.339000,141.336000,593.319000,1992.331000,
|73;1190.776000,273.773000,497.552000,1188.339000,134.850000,598.003000,1996.822000,
|74;1190.774000,267.314000,502.231000,1188.339000,128.364000,602.686000,1993.855000,
|75;1190.771000,260.842000,506.906000,1188.339000,121.883000,607.367000,1995.890000,
|76;1190.768000,254.391000,511.578000,1188.339000,115.415000,612.038000,1991.482000,
|77;1190.773000,247.907000,516.251000,1188.339000,108.970000,616.692000,1997.968000,
